jahr	tote100kWeighted
2000	1237.504720461876
2001	1217.1709187597858
2002	1235.327162026455
2003	1253.5012140915853
2004	1189.1116463226042
2005	1150.412834790649
2006	1105.6294692070283
2007	1085.2886537777547
2008	1081.9278083892498
2009	1094.6706309502474
2010	1052.6785791854977
2011	1047.049621835073
2012	1045.709436267848
2013	1059.4008993602856
2014	1001.2567935157042
2015	1068.165859858012
2016	1010.9839201663109
2017	1020.1186409714403
2018	1031.652162086016
2019	990.3419770603417
2020	1036.056774234325
2021	1031.6042735861738
